split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category,Carbides,svm,0.6429353008722283,,0.2520332840905683,,-0.3038416922993399,,0.6429353008722283,,0.2520332840905683,,-0.3038416922993399,,1,1,1,1,1,1
category,Chalcogenides,alignn_prop,0.6289337277412415,,0.3424934446811676,,-0.1299760639667511,,0.6289337277412415,,0.3424934446811676,,-0.1299760639667511,,1,1,1,1,1,1
category,Chalcogenides,alignn_z,0.6061499118804932,,0.3104554712772369,,-0.0335122533142566,,0.6061499118804932,,0.3104554712772369,,-0.0335122533142566,,1,1,1,1,1,1
category,Chalcogenides,cartnet,0.6008279323577881,,0.3184481561183929,,0.0915458276867866,,0.6008279323577881,,0.3184481561183929,,0.1129591017961502,,1,1,1,1,1,1
category,Chalcogenides,cartnet_prop,0.5697571039199829,,0.2972961366176605,,0.1298049837350845,,0.5697571039199829,,0.2972961068153381,,0.1336739063262939,,1,1,1,1,1,1
category,Chalcogenides,cgcnn,0.6214814782142639,,0.3287818431854248,,-0.0633766204118728,,0.6214814782142639,,0.3287818431854248,,-0.0633766204118728,,1,1,1,1,1,1
category,Chalcogenides,chgnet_prop,0.525598406791687,,0.2839507460594177,,0.1938976496458053,,0.5255983471870422,,0.2839507162570953,,0.1938976496458053,,1,1,1,1,1,1
category,Chalcogenides,chgnet_z,0.8196681141853333,,0.5549027919769287,,-0.8637660145759583,,0.8196681141853333,,0.5549027919769287,,-0.8637661337852478,,1,1,1,1,1,1
category,Chalcogenides,leftnet_prop,0.684320330619812,,0.3898147642612457,,-0.1791986376047134,,0.684320330619812,,0.3898147940635681,,-0.1791986674070358,,1,1,1,1,1,1
category,Chalcogenides,leftnet_z,0.8368010520935059,,0.4078362286090851,,-0.684590756893158,,0.8368010520935059,,0.4078362584114074,,-0.684590756893158,,1,1,1,1,1,1
category,Chalcogenides,linear_regression,0.614411481956459,,0.4091268786309289,,0.0616028021264026,,0.614411481956459,,0.4091268786309289,,0.0616028021264026,,1,1,1,1,1,1
category,Chalcogenides,random_forest,0.6193466245869307,,0.3655435039002531,,0.0498378793689292,,0.6193466245869307,,0.3655435039002531,,0.0498378793689292,,1,1,1,1,1,1
category,Chalcogenides,svm,0.8104826707099774,,0.3992357573246631,,-0.5513704577548655,,0.8104826707099774,,0.3992357573246631,,-0.5513704577548655,,1,1,1,1,1,1
category,Halides,alignn_prop,0.9648797512054444,,0.4658799171447754,,-0.5588701367378235,,0.9648797512054444,,0.4658799171447754,,-0.5588701367378235,,1,1,1,1,1,1
category,Halides,alignn_z,0.8261839747428894,,0.3726812303066253,,-0.272155612707138,,0.8261839747428894,,0.3726812303066253,,-0.272155612707138,,1,1,1,1,1,1
category,Halides,cartnet,0.8790109753608704,,0.4223701953887939,,-0.3590673506259918,,0.8790109753608704,,0.4223701953887939,,-0.4408793449401855,,1,1,1,1,1,1
category,Halides,cartnet_prop,0.8299623131752014,,0.4231108725070953,,-0.3371815681457519,,0.8299623131752014,,0.4231108725070953,,-0.4397333860397339,,1,1,1,1,1,1
category,Halides,cgcnn,0.8401261568069458,,0.3911536931991577,,-0.2626411914825439,,0.8401261568069458,,0.3911536931991577,,-0.2626411914825439,,1,1,1,1,1,1
category,Halides,chgnet_prop,0.8190159797668457,,0.4550128579139709,,-0.2075897306203842,,0.8190159797668457,,0.4550129175186157,,-0.2075897753238678,,1,1,1,1,1,1
category,Halides,chgnet_z,1.0319305658340454,,0.5135182738304138,,-0.8418991565704346,,1.031930446624756,,0.5135182738304138,,-0.8418991565704346,,1,1,1,1,1,1
category,Halides,leftnet_prop,0.8391544222831726,,0.4471778273582458,,-0.187607392668724,,0.8391544222831726,,0.4471778571605682,,-0.187607392668724,,1,1,1,1,1,1
category,Halides,leftnet_z,0.8818256855010986,,0.5283225178718567,,-0.3191552758216858,,0.8818256855010986,,0.5283225178718567,,-0.3191553354263305,,1,1,1,1,1,1
category,Halides,linear_regression,1.166106479409294,,0.4848821071150505,,-1.1060392566321462,,1.166106479409294,,0.4848821071150505,,-1.1060392566321462,,1,1,1,1,1,1
category,Halides,random_forest,0.9403043860047118,,0.4399908507005698,,-0.3833145913191791,,0.9403043860047118,,0.4399908507005698,,-0.3833145913191791,,1,1,1,1,1,1
category,Halides,svm,1.228992199277094,,0.4680116514499361,,-1.3407684260021455,,1.228992199277094,,0.4680116514499361,,-1.3407684260021455,,1,1,1,1,1,1
category,Hydrides,alignn_prop,0.6708299517631531,,0.3230018317699432,,0.4710112810134887,,0.6708299517631531,,0.3230018317699432,,0.4710112810134887,,1,1,1,1,1,1
category,Hydrides,alignn_z,0.6547929048538208,,0.2914779186248779,,0.4341338872909546,,0.6547929048538208,,0.2914779186248779,,0.4341338872909546,,1,1,1,1,1,1
category,Hydrides,cartnet,0.9662224650382996,,0.5420699715614319,,-0.1565436124801635,,0.9662225842475892,,0.5420700311660767,,-0.1565437316894531,,1,1,1,1,1,1
category,Hydrides,cartnet_prop,0.7917521595954895,,0.5082398653030396,,0.0838157534599304,,0.7917522192001343,,0.5082399249076843,,0.0838156342506408,,1,1,1,1,1,1
category,Hydrides,cgcnn,0.7895163297653198,,0.356896698474884,,0.2839671373367309,,0.7895163297653198,,0.356896698474884,,0.2839671373367309,,1,1,1,1,1,1
category,Hydrides,chgnet_prop,0.9701426029205322,,0.5099248290061951,,-0.0849106311798095,,0.9701425433158876,,0.5099248290061951,,-0.08491051197052,,1,1,1,1,1,1
category,Hydrides,chgnet_z,1.14286470413208,,0.4251047670841217,,-0.7982931137084961,,1.1428648233413696,,0.4251047968864441,,-0.7982934713363647,,1,1,1,1,1,1
